ID,camera ID,shelf ID,hand_id,hand_coords,timestamp,timestamp(UTC - JST)
0,2,3,550.0,"(649, 365)",1589513967.6833334,2020:05:15 10:39:27
1,2,3,550.0,"(676, 337)",1589513968.4833333,2020:05:15 10:39:28
2,2,3,551.0,"(698, 327)",1589513970.5166667,2020:05:15 10:39:30
3,2,3,555.0,"(821, 291)",1589513972.8,2020:05:15 10:39:32
4,2,3,555.0,"(825, 301)",1589513973.4833333,2020:05:15 10:39:33
5,2,4,558.0,"(857, 260)",1589513976.6833334,2020:05:15 10:39:36
6,2,4,560.0,"(916, 206)",1589513980.0833333,2020:05:15 10:39:40
7,2,4,560.0,"(950, 235)",1589513983.2,2020:05:15 10:39:43
