ID,camera ID,shelf ID,hand_id,hand_coords,timestamp,timestamp(UTC - JST)
0,1,2,392.0,"(380, 197)",1589513804.55,2020:05:15 10:36:44
1,1,2,394.0,"(493, 249)",1589513807.6833334,2020:05:15 10:36:47
2,1,2,397.0,"(443, 153)",1589513810.4,2020:05:15 10:36:50
3,2,3,456.0,"(582, 336)",1589513811.3666666,2020:05:15 10:36:51
4,2,4,460.0,"(899, 217)",1589513812.6333334,2020:05:15 10:36:52
5,1,2,409.0,"(487, 252)",1589513813.2833333,2020:05:15 10:36:53
6,2,4,466.0,"(896, 240)",1589513815.3666666,2020:05:15 10:36:55
7,2,4,466.0,"(883, 247)",1589513818.8333333,2020:05:15 10:36:58
8,2,4,467.0,"(1054, 192)",1589513821.0,2020:05:15 10:37:01
9,2,4,478.0,"(883, 236)",1589513830.6333334,2020:05:15 10:37:10
10,2,4,478.0,"(882, 264)",1589513832.7166667,2020:05:15 10:37:12
