ID,camera ID,shelf ID,hand_id,hand_coords,timestamp,timestamp(UTC - JST)
0,2,3,599.0,"(682, 339)",1589514043.4,2020:05:15 10:40:43
1,2,3,603.0,"(616, 330)",1589514046.2,2020:05:15 10:40:46
2,2,3,604.0,"(775, 223)",1589514047.0,2020:05:15 10:40:47
3,2,3,607.0,"(742, 152)",1589514049.8833334,2020:05:15 10:40:49
4,2,3,612.0,"(618, 165)",1589514052.0833333,2020:05:15 10:40:52
5,1,5,582.0,"(948, 22)",1589514055.3166666,2020:05:15 10:40:55
6,1,5,584.0,"(898, 66)",1589514055.7166667,2020:05:15 10:40:55
7,1,5,585.0,"(1111, 110)",1589514056.6,2020:05:15 10:40:56
8,1,5,590.0,"(969, 119)",1589514060.8833334,2020:05:15 10:41:00
