ID,camera ID,shelf ID,hand_id,hand_coords,timestamp,timestamp(UTC - JST)
0,2,4,669.0,"(998, 208)",1589514172.6666667,2020:05:15 10:42:52
1,2,4,669.0,"(1009, 165)",1589514173.9166667,2020:05:15 10:42:53
2,2,4,672.0,"(869, 227)",1589514173.95,2020:05:15 10:42:53
3,2,4,684.0,"(957, 171)",1589514178.4333334,2020:05:15 10:42:58
4,2,4,685.0,"(818, 82)",1589514179.5166667,2020:05:15 10:42:59
5,2,4,688.0,"(855, 171)",1589514180.0666666,2020:05:15 10:43:00
6,2,4,690.0,"(904, 76)",1589514183.3166666,2020:05:15 10:43:03
7,1,5,653.0,"(1040, 280)",1589514183.75,2020:05:15 10:43:03
8,2,4,692.0,"(966, 156)",1589514184.0333333,2020:05:15 10:43:04
9,1,5,655.0,"(1238, 243)",1589514184.3166666,2020:05:15 10:43:04
10,1,5,654.0,"(879, 96)",1589514184.95,2020:05:15 10:43:04
11,2,4,695.0,"(952, 54)",1589514185.55,2020:05:15 10:43:05
12,2,4,698.0,"(1019, 200)",1589514186.35,2020:05:15 10:43:06
13,1,5,661.0,"(1125, 295)",1589514186.6333334,2020:05:15 10:43:06
14,1,5,665.0,"(1104, 81)",1589514189.0666666,2020:05:15 10:43:09
