ID,camera ID,shelf ID,hand_id,hand_coords,timestamp,timestamp(UTC - JST)
0,2,1,260.0,"(170, 384)",1589513390.2666667,2020:05:15 10:29:50
1,1,2,239.0,"(430, 58)",1589513390.3166666,2020:05:15 10:29:50
2,2,4,271.0,"(856, 239)",1589513394.4666667,2020:05:15 10:29:54
3,2,1,272.0,"(494, 19)",1589513395.2666667,2020:05:15 10:29:55
4,2,4,275.0,"(857, 172)",1589513401.0333333,2020:05:15 10:30:01
5,2,4,278.0,"(1025, 206)",1589513402.5833333,2020:05:15 10:30:02
6,2,4,278.0,"(993, 171)",1589513403.7833333,2020:05:15 10:30:03
7,1,5,250.0,"(865, 208)",1589513409.1833334,2020:05:15 10:30:09
8,2,4,286.0,"(999, 157)",1589513413.2333333,2020:05:15 10:30:13
9,2,4,288.0,"(832, 108)",1589513413.6333334,2020:05:15 10:30:13
10,1,5,255.0,"(951, 234)",1589513413.7833333,2020:05:15 10:30:13
11,2,4,288.0,"(894, 194)",1589513414.4666667,2020:05:15 10:30:14
12,2,4,288.0,"(883, 150)",1589513416.0333333,2020:05:15 10:30:16
