ID,camera ID,shelf ID,hand_id,hand_coords,timestamp,timestamp(UTC - JST)
0,2,3,82.0,"(658, 314)",1589512936.7666667,2020:05:15 10:22:16
1,2,3,83.0,"(793, 170)",1589512937.1666667,2020:05:15 10:22:17
2,2,3,85.0,"(779, 192)",1589512939.1666667,2020:05:15 10:22:19
3,2,3,86.0,"(657, 270)",1589512939.3666666,2020:05:15 10:22:19
4,2,3,89.0,"(744, 152)",1589512941.5166667,2020:05:15 10:22:21
5,2,3,91.0,"(620, 207)",1589512942.0333333,2020:05:15 10:22:22
6,2,3,96.0,"(678, 215)",1589512964.15,2020:05:15 10:22:44
7,2,3,97.0,"(742, 103)",1589512965.4333334,2020:05:15 10:22:45
8,2,3,104.0,"(747, 125)",1589512968.0833333,2020:05:15 10:22:48
9,1,2,70.0,"(478, 231)",1589512969.15,2020:05:15 10:22:49
10,2,3,105.0,"(607, 372)",1589512969.2,2020:05:15 10:22:49
11,2,3,105.0,"(590, 397)",1589512969.8,2020:05:15 10:22:49
12,2,3,107.0,"(796, 194)",1589512971.0333333,2020:05:15 10:22:51
