ID,camera ID,shelf ID,hand_id,hand_coords,timestamp,timestamp(UTC - JST)
0,1,2,326.0,"(500, 144)",1589513652.8833334,2020:05:15 10:34:12
1,2,3,363.0,"(678, 253)",1589513652.9833333,2020:05:15 10:34:12
2,1,2,326.0,"(363, 223)",1589513654.5166667,2020:05:15 10:34:14
3,1,2,334.0,"(419, 101)",1589513656.4833333,2020:05:15 10:34:16
4,2,1,367.0,"(202, 390)",1589513657.15,2020:05:15 10:34:17
5,1,2,342.0,"(435, 76)",1589513658.7166667,2020:05:15 10:34:18
6,2,1,371.0,"(510, 245)",1589513659.3833334,2020:05:15 10:34:19
7,1,2,350.0,"(478, 98)",1589513661.6,2020:05:15 10:34:21
8,2,3,377.0,"(602, 153)",1589513662.2666667,2020:05:15 10:34:22
9,1,2,352.0,"(496, 210)",1589513664.6,2020:05:15 10:34:24
10,2,4,382.0,"(884, 192)",1589513664.75,2020:05:15 10:34:24
11,2,4,385.0,"(805, 117)",1589513667.7166667,2020:05:15 10:34:27
12,1,2,359.0,"(487, 212)",1589513670.15,2020:05:15 10:34:30
