ID,camera ID,shelf ID,hand_id,hand_coords,timestamp,timestamp(UTC - JST)
0,2,1,179.0,"(535, 88)",1589513235.4333334,2020:05:15 10:27:15
1,2,1,178.0,"(198, 342)",1589513235.6,2020:05:15 10:27:15
2,1,2,164.0,"(418, 105)",1589513236.0,2020:05:15 10:27:16
3,2,1,178.0,"(173, 378)",1589513239.3166666,2020:05:15 10:27:19
4,2,1,181.0,"(528, 98)",1589513239.95,2020:05:15 10:27:19
5,1,2,168.0,"(492, 211)",1589513241.0,2020:05:15 10:27:21
6,2,3,182.0,"(688, 342)",1589513242.0,2020:05:15 10:27:22
7,1,2,173.0,"(508, 182)",1589513245.6833334,2020:05:15 10:27:25
