ID,camera ID,shelf ID,hand_id,hand_coords,timestamp,timestamp(UTC - JST)
0,2,1,305.0,"(176, 387)",1589513520.1166666,2020:05:15 10:32:00
1,2,1,306.0,"(509, 15)",1589513520.2666667,2020:05:15 10:32:00
2,2,4,307.0,"(869, 198)",1589513523.6666667,2020:05:15 10:32:03
3,1,5,296.0,"(1236, 155)",1589513525.15,2020:05:15 10:32:05
4,1,5,297.0,"(938, 29)",1589513525.7166667,2020:05:15 10:32:05
5,1,5,297.0,"(970, 23)",1589513526.35,2020:05:15 10:32:06
6,1,5,298.0,"(1215, 201)",1589513528.0833333,2020:05:15 10:32:08
7,1,5,303.0,"(1131, 27)",1589513529.8833334,2020:05:15 10:32:09
