ID,camera ID,shelf ID,hand_id,hand_coords,timestamp,timestamp(UTC - JST)
0,1,2,486.0,"(358, 154)",1589513897.9166667,2020:05:15 10:38:17
1,1,2,487.0,"(484, 209)",1589513900.15,2020:05:15 10:38:20
2,1,2,488.0,"(421, 194)",1589513901.4333334,2020:05:15 10:38:21
3,1,5,490.0,"(950, 96)",1589513905.2,2020:05:15 10:38:25
4,2,4,518.0,"(995, 76)",1589513905.2833333,2020:05:15 10:38:25
5,1,5,493.0,"(975, 169)",1589513907.4,2020:05:15 10:38:27
6,2,4,518.0,"(989, 53)",1589513907.7166667,2020:05:15 10:38:27
7,1,5,494.0,"(941, 48)",1589513909.2333333,2020:05:15 10:38:29
8,1,5,494.0,"(1013, 66)",1589513911.7166667,2020:05:15 10:38:31
9,2,4,525.0,"(976, 84)",1589513912.75,2020:05:15 10:38:32
